;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
13;{'n_estimators': 157, 'max_depth': 11, 'min_data_in_leaf': 22, 'learning_rate': 0.5371428571428571};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.810236111111111;0.675;0.6814102564102563;0.5791666666666667;0.5776477146042363;"[[18  0  2  0]
 [ 2  7 11  0]
 [ 3  3 52  2]
 [ 3  0 13  4]]"
14;{'n_estimators': 90, 'max_depth': 9, 'min_data_in_leaf': 27, 'learning_rate': 0.4828571428571429};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7960277777777778;0.6916666666666667;0.7253787878787878;0.5791666666666667;0.5904431216931217;"[[18  0  2  0]
 [ 1  6 12  1]
 [ 2  1 55  2]
 [ 1  0 15  4]]"
15;{'n_estimators': 137, 'max_depth': 9, 'min_data_in_leaf': 38, 'learning_rate': 0.5216326530612245};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8258888888888889;0.6583333333333333;0.6453423120089787;0.5541666666666667;0.5616549627921601;"[[17  0  3  0]
 [ 1  6 12  1]
 [ 2  3 52  3]
 [ 2  0 14  4]]"
16;{'n_estimators': 108, 'max_depth': 11, 'min_data_in_leaf': 43, 'learning_rate': 0.6146938775510205};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8129305555555555;0.6333333333333333;0.5700201189331624;0.5416666666666666;0.5397844330485606;"[[17  0  3  0]
 [ 2  6 10  2]
 [ 1  4 49  6]
 [ 3  1 12  4]]"
17;{'n_estimators': 150, 'max_depth': 10, 'min_data_in_leaf': 24, 'learning_rate': 0.343265306122449};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8094583333333332;0.675;0.7126164596273292;0.5625;0.5660880398671096;"[[18  0  2  0]
 [ 2  4 14  0]
 [ 2  1 54  3]
 [ 1  0 14  5]]"
18;{'n_estimators': 113, 'max_depth': 6, 'min_data_in_leaf': 38, 'learning_rate': 0.3587755102040816};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7995833333333333;0.675;0.6581863166953529;0.5625;0.5690376696474257;"[[18  0  2  0]
 [ 2  5 12  1]
 [ 1  2 54  3]
 [ 0  1 15  4]]"
19;{'n_estimators': 153, 'max_depth': 11, 'min_data_in_leaf': 26, 'learning_rate': 0.4828571428571429};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8075;0.6916666666666667;0.7064811881885054;0.5875;0.5991902886026247;"[[18  0  2  0]
 [ 1  7 11  1]
 [ 2  2 54  2]
 [ 1  0 15  4]]"
20;{'n_estimators': 159, 'max_depth': 8, 'min_data_in_leaf': 60, 'learning_rate': 0.6922448979591836};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.812125;0.6583333333333333;0.6419742538163591;0.5791666666666667;0.5926052610265193;"[[17  0  3  0]
 [ 2  9  8  1]
 [ 2  3 49  6]
 [ 0  0 16  4]]"
21;{'n_estimators': 146, 'max_depth': 7, 'min_data_in_leaf': 42, 'learning_rate': 0.45959183673469384};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8223333333333334;0.6833333333333333;0.680506993006993;0.6000000000000001;0.6111218944099379;"[[18  0  2  0]
 [ 2  9  9  0]
 [ 2  3 51  4]
 [ 0  0 16  4]]"
22;{'n_estimators': 113, 'max_depth': 7, 'min_data_in_leaf': 64, 'learning_rate': 0.5293877551020408};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7864861111111111;0.65;0.6055194805194806;0.5583333333333333;0.5615868421368043;"[[17  1  2  0]
 [ 2  8  9  1]
 [ 2  3 50  5]
 [ 1  0 16  3]]"
