;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
0;{'n_estimators': 110, 'max_depth': 5, 'min_data_in_leaf': 21, 'learning_rate': 0.6457142857142857};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8320416666666667;0.6333333333333333;0.578772689299005;0.5166666666666666;0.5283688708304868;"[[13  2  4  1]
 [ 2  6 10  2]
 [ 4  3 52  1]
 [ 0  4 11  5]]"
1;{'n_estimators': 159, 'max_depth': 6, 'min_data_in_leaf': 34, 'learning_rate': 0.38204081632653064};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8453194444444444;0.65;0.5798976608187134;0.5333333333333333;0.5436833505331957;"[[13  2  3  2]
 [ 2  8  9  1]
 [ 2  2 53  3]
 [ 1  4 11  4]]"
2;{'n_estimators': 122, 'max_depth': 5, 'min_data_in_leaf': 63, 'learning_rate': 0.6457142857142857};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.828625;0.675;0.630483457502203;0.5708333333333333;0.5856853672643146;"[[13  3  3  1]
 [ 3  9  6  2]
 [ 2  4 53  1]
 [ 0  3 11  6]]"
3;{'n_estimators': 99, 'max_depth': 5, 'min_data_in_leaf': 57, 'learning_rate': 0.4906122448979592};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8377777777777777;0.675;0.6194287841718966;0.5541666666666666;0.5642080929850715;"[[13  2  3  2]
 [ 2 10  7  1]
 [ 2  2 55  1]
 [ 0  3 14  3]]"
4;{'n_estimators': 131, 'max_depth': 5, 'min_data_in_leaf': 25, 'learning_rate': 0.45959183673469384};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8314027777777778;0.6833333333333333;0.6353941197691197;0.5750000000000001;0.5884142302648138;"[[15  0  3  2]
 [ 2  9  8  1]
 [ 1  3 54  2]
 [ 0  4 12  4]]"
5;{'n_estimators': 153, 'max_depth': 9, 'min_data_in_leaf': 58, 'learning_rate': 0.3355102040816327};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8575694444444445;0.7;0.6636141636141637;0.5833333333333333;0.5970322765446545;"[[15  2  2  1]
 [ 2  8  7  3]
 [ 3  1 56  0]
 [ 1  1 13  5]]"
6;{'n_estimators': 101, 'max_depth': 6, 'min_data_in_leaf': 61, 'learning_rate': 0.6379591836734694};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8524027777777777;0.7;0.6748780614362805;0.6083333333333333;0.6201567136231383;"[[15  1  3  1]
 [ 2 10  6  2]
 [ 3  4 53  0]
 [ 2  1 11  6]]"
7;{'n_estimators': 99, 'max_depth': 8, 'min_data_in_leaf': 34, 'learning_rate': 0.5991836734693877};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8341388888888889;0.6333333333333333;0.5833333333333333;0.5166666666666667;0.5214468726102436;"[[14  2  3  1]
 [ 2  6 10  2]
 [ 3  5 52  0]
 [ 2  1 13  4]]"
8;{'n_estimators': 104, 'max_depth': 7, 'min_data_in_leaf': 20, 'learning_rate': 0.6612244897959183};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8352777777777778;0.6666666666666666;0.6170770202020202;0.5416666666666666;0.5532973144764024;"[[14  2  3  1]
 [ 3  7  8  2]
 [ 2  1 55  2]
 [ 1  1 14  4]]"
9;{'n_estimators': 146, 'max_depth': 10, 'min_data_in_leaf': 47, 'learning_rate': 0.5526530612244898};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8330277777777777;0.6833333333333333;0.6287293787293787;0.5833333333333334;0.589217776662904;"[[16  1  2  1]
 [ 3  8  8  1]
 [ 2  2 53  3]
 [ 1  3 11  5]]"
10;{'n_estimators': 159, 'max_depth': 6, 'min_data_in_leaf': 33, 'learning_rate': 0.6612244897959183};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8452361111111111;0.675;0.6124367945020119;0.5708333333333333;0.5738278669480803;"[[16  1  2  1]
 [ 2  7  8  3]
 [ 3  2 53  2]
 [ 2  2 11  5]]"
11;{'n_estimators': 75, 'max_depth': 5, 'min_data_in_leaf': 25, 'learning_rate': 0.4828571428571429};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8449027777777778;0.6916666666666667;0.6520250582750583;0.5708333333333333;0.5801306935817806;"[[15  1  3  1]
 [ 2  7  9  2]
 [ 3  1 56  0]
 [ 2  3 10  5]]"
12;{'n_estimators': 139, 'max_depth': 7, 'min_data_in_leaf': 42, 'learning_rate': 0.4440816326530612};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8498888888888889;0.7;0.69235347985348;0.5916666666666667;0.6079393834828617;"[[15  1  3  1]
 [ 2  9  8  1]
 [ 3  2 55  0]
 [ 0  3 12  5]]"
13;{'n_estimators': 157, 'max_depth': 11, 'min_data_in_leaf': 22, 'learning_rate': 0.5371428571428571};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.835388888888889;0.7;0.6865624426920961;0.575;0.5872502283687038;"[[14  1  3  2]
 [ 2 10  8  0]
 [ 3  0 57  0]
 [ 0  3 14  3]]"
14;{'n_estimators': 90, 'max_depth': 9, 'min_data_in_leaf': 27, 'learning_rate': 0.4828571428571429};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8276527777777778;0.6833333333333333;0.6527573529411764;0.5666666666666667;0.5856177606177606;"[[14  1  4  1]
 [ 1  9  8  2]
 [ 1  3 55  1]
 [ 1  2 13  4]]"
15;{'n_estimators': 137, 'max_depth': 9, 'min_data_in_leaf': 38, 'learning_rate': 0.5216326530612245};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8432083333333333;0.7;0.7010146103896104;0.5916666666666667;0.5962061174834898;"[[16  1  2  1]
 [ 2  9  9  0]
 [ 3  2 55  0]
 [ 1  4 11  4]]"
16;{'n_estimators': 108, 'max_depth': 11, 'min_data_in_leaf': 43, 'learning_rate': 0.6146938775510205};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.845111111111111;0.7;0.6926630434782608;0.625;0.6387521393335347;"[[16  1  2  1]
 [ 2 10  8  0]
 [ 4  3 51  2]
 [ 1  1 11  7]]"
17;{'n_estimators': 150, 'max_depth': 10, 'min_data_in_leaf': 24, 'learning_rate': 0.343265306122449};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8345833333333332;0.6666666666666666;0.6656777426160337;0.5499999999999999;0.5524763116336199;"[[14  3  3  0]
 [ 2  9  8  1]
 [ 4  2 54  0]
 [ 1  2 14  3]]"
18;{'n_estimators': 113, 'max_depth': 6, 'min_data_in_leaf': 38, 'learning_rate': 0.3587755102040816};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8370555555555556;0.6916666666666667;0.6362135581313663;0.5875;0.5908863066757803;"[[16  1  2  1]
 [ 3  6  8  3]
 [ 3  1 54  2]
 [ 2  2  9  7]]"
19;{'n_estimators': 153, 'max_depth': 11, 'min_data_in_leaf': 26, 'learning_rate': 0.4828571428571429};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8219722222222222;0.6583333333333333;0.600250626566416;0.5375000000000001;0.5422511823157448;"[[13  2  3  2]
 [ 4  8  7  1]
 [ 3  3 54  0]
 [ 1  3 12  4]]"
20;{'n_estimators': 159, 'max_depth': 8, 'min_data_in_leaf': 60, 'learning_rate': 0.6922448979591836};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8318194444444444;0.675;0.6227733415233415;0.5625;0.5685560293769248;"[[14  2  2  2]
 [ 3  8  8  1]
 [ 3  3 54  0]
 [ 2  3 10  5]]"
21;{'n_estimators': 146, 'max_depth': 7, 'min_data_in_leaf': 42, 'learning_rate': 0.45959183673469384};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8387083333333334;0.7;0.6783528971028971;0.5916666666666667;0.6049507062280786;"[[15  0  4  1]
 [ 2  9  7  2]
 [ 3  2 55  0]
 [ 2  2 11  5]]"
22;{'n_estimators': 113, 'max_depth': 7, 'min_data_in_leaf': 64, 'learning_rate': 0.5293877551020408};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8336388888888888;0.7;0.6621273463378726;0.5916666666666667;0.6086697142199988;"[[15  1  3  1]
 [ 2  7  9  2]
 [ 3  1 55  1]
 [ 0  4  9  7]]"
23;{'n_estimators': 111, 'max_depth': 5, 'min_data_in_leaf': 58, 'learning_rate': 0.5216326530612245};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8339444444444444;0.6833333333333333;0.6495498727344163;0.5583333333333333;0.577614397510205;"[[13  4  3  0]
 [ 2  7  9  2]
 [ 3  0 56  1]
 [ 1  2 11  6]]"
24;{'n_estimators': 146, 'max_depth': 9, 'min_data_in_leaf': 35, 'learning_rate': 0.45183673469387753};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8333333333333334;0.675;0.6153273809523809;0.5541666666666666;0.5564810782036392;"[[16  1  2  1]
 [ 2  7  9  2]
 [ 3  1 55  1]
 [ 0  3 14  3]]"
25;{'n_estimators': 90, 'max_depth': 8, 'min_data_in_leaf': 37, 'learning_rate': 0.5216326530612245};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8352083333333333;0.6666666666666666;0.6037434870073346;0.5666666666666667;0.5692185178898963;"[[16  1  2  1]
 [ 2  6 10  2]
 [ 3  3 52  2]
 [ 2  3  9  6]]"
26;{'n_estimators': 117, 'max_depth': 9, 'min_data_in_leaf': 34, 'learning_rate': 0.5293877551020408};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8343472222222224;0.6666666666666666;0.6322916666666667;0.5666666666666667;0.5710981047937571;"[[16  0  3  1]
 [ 1  9  9  1]
 [ 2  5 52  1]
 [ 1  2 14  3]]"
27;{'n_estimators': 73, 'max_depth': 11, 'min_data_in_leaf': 23, 'learning_rate': 0.5681632653061224};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8302777777777779;0.6583333333333333;0.6113622664255576;0.5375;0.5528973213017074;"[[14  2  3  1]
 [ 1  6 11  2]
 [ 3  2 54  1]
 [ 0  4 11  5]]"
28;{'n_estimators': 131, 'max_depth': 11, 'min_data_in_leaf': 40, 'learning_rate': 0.5914285714285714};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8379722222222221;0.6916666666666667;0.6822348484848485;0.6041666666666666;0.6148066688389269;"[[17  0  2  1]
 [ 2  8  9  1]
 [ 3  3 52  2]
 [ 2  0 12  6]]"
29;{'n_estimators': 159, 'max_depth': 5, 'min_data_in_leaf': 33, 'learning_rate': 0.6146938775510205};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8130555555555554;0.6583333333333333;0.594541231126597;0.5208333333333334;0.523470361464178;"[[14  1  3  2]
 [ 3  6 10  1]
 [ 3  0 56  1]
 [ 1  3 13  3]]"
30;{'n_estimators': 119, 'max_depth': 7, 'min_data_in_leaf': 33, 'learning_rate': 0.6302040816326531};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8379166666666666;0.6916666666666667;0.669550032488629;0.5708333333333333;0.5901223111994389;"[[14  1  4  1]
 [ 2  9  7  2]
 [ 2  1 56  1]
 [ 1  1 14  4]]"
31;{'n_estimators': 93, 'max_depth': 8, 'min_data_in_leaf': 61, 'learning_rate': 0.4983673469387755};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8443888888888889;0.65;0.5727780990938887;0.525;0.5313084213729838;"[[13  2  3  2]
 [ 4  6  8  2]
 [ 4  1 54  1]
 [ 0  4 11  5]]"
32;{'n_estimators': 144, 'max_depth': 7, 'min_data_in_leaf': 28, 'learning_rate': 0.6689795918367347};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8208194444444445;0.675;0.6127254449414676;0.5541666666666666;0.5632532758537837;"[[14  2  4  0]
 [ 2  9  6  3]
 [ 2  1 55  2]
 [ 1  2 14  3]]"
33;{'n_estimators': 122, 'max_depth': 9, 'min_data_in_leaf': 54, 'learning_rate': 0.6767346938775509};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8379999999999999;0.675;0.6285714285714286;0.5958333333333333;0.6006410256410256;"[[15  1  2  2]
 [ 1 11  6  2]
 [ 4  5 50  1]
 [ 0  3 12  5]]"
34;{'n_estimators': 122, 'max_depth': 9, 'min_data_in_leaf': 47, 'learning_rate': 0.6224489795918366};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8498333333333333;0.6666666666666666;0.6211309523809524;0.5666666666666667;0.5743301668493486;"[[16  0  3  1]
 [ 1  9  9  1]
 [ 3  2 52  3]
 [ 0  3 14  3]]"
35;{'n_estimators': 82, 'max_depth': 7, 'min_data_in_leaf': 34, 'learning_rate': 0.38204081632653064};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8565972222222222;0.7083333333333334;0.6886863136863137;0.5958333333333334;0.6026507593003757;"[[16  1  2  1]
 [ 3  9  7  1]
 [ 2  2 56  0]
 [ 1  2 13  4]]"
36;{'n_estimators': 95, 'max_depth': 8, 'min_data_in_leaf': 25, 'learning_rate': 0.6612244897959183};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8222083333333334;0.6583333333333333;0.6463267543859649;0.5458333333333334;0.5585164835164834;"[[15  1  4  0]
 [ 1  7 10  2]
 [ 3  4 53  0]
 [ 0  3 13  4]]"
37;{'n_estimators': 133, 'max_depth': 11, 'min_data_in_leaf': 27, 'learning_rate': 0.38979591836734695};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8485694444444445;0.6833333333333333;0.626956376956377;0.5666666666666667;0.5697659828094611;"[[15  1  3  1]
 [ 2  9  8  1]
 [ 3  0 55  2]
 [ 2  3 12  3]]"
38;{'n_estimators': 110, 'max_depth': 6, 'min_data_in_leaf': 63, 'learning_rate': 0.4906122448979592};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8452222222222222;0.6833333333333333;0.6480057932263815;0.6;0.6125911468653403;"[[15  1  3  1]
 [ 1 10  7  2]
 [ 4  3 51  2]
 [ 0  3 11  6]]"
39;{'n_estimators': 106, 'max_depth': 5, 'min_data_in_leaf': 44, 'learning_rate': 0.4828571428571429};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8459722222222223;0.6333333333333333;0.5552631578947369;0.525;0.5267241379310345;"[[15  1  3  1]
 [ 2  7  9  2]
 [ 3  3 51  3]
 [ 0  4 13  3]]"
40;{'n_estimators': 106, 'max_depth': 8, 'min_data_in_leaf': 53, 'learning_rate': 0.6767346938775509};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8420555555555556;0.7166666666666667;0.7100877192982455;0.6166666666666666;0.6428308823529412;"[[14  0  4  2]
 [ 2  9  8  1]
 [ 3  1 55  1]
 [ 1  2  9  8]]"
41;{'n_estimators': 101, 'max_depth': 11, 'min_data_in_leaf': 20, 'learning_rate': 0.5293877551020408};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8410833333333333;0.675;0.6184845598158292;0.5458333333333333;0.5435139073819732;"[[15  0  4  1]
 [ 2  9  9  0]
 [ 2  1 56  1]
 [ 0  3 16  1]]"
42;{'n_estimators': 121, 'max_depth': 5, 'min_data_in_leaf': 63, 'learning_rate': 0.40530612244897957};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8359166666666666;0.65;0.5628474290252135;0.5333333333333333;0.5339138179751705;"[[14  2  2  2]
 [ 3  6  7  4]
 [ 4  2 53  1]
 [ 2  2 11  5]]"
43;{'n_estimators': 124, 'max_depth': 7, 'min_data_in_leaf': 61, 'learning_rate': 0.5526530612244898};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8268194444444446;0.6416666666666667;0.5748043052837574;0.5458333333333334;0.5486745318581006;"[[15  1  3  1]
 [ 3  8  8  1]
 [ 3  3 50  4]
 [ 0  4 12  4]]"
44;{'n_estimators': 141, 'max_depth': 7, 'min_data_in_leaf': 47, 'learning_rate': 0.45183673469387753};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8360277777777778;0.6583333333333333;0.589040837854129;0.5375;0.540117862156268;"[[15  2  2  1]
 [ 2  7  9  2]
 [ 3  1 54  2]
 [ 1  2 14  3]]"
45;{'n_estimators': 90, 'max_depth': 5, 'min_data_in_leaf': 36, 'learning_rate': 0.39755102040816326};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8427361111111111;0.675;0.6204792043399638;0.5541666666666666;0.5561079224028348;"[[15  2  2  1]
 [ 2  8  9  1]
 [ 3  1 55  1]
 [ 1  3 13  3]]"
46;{'n_estimators': 124, 'max_depth': 6, 'min_data_in_leaf': 52, 'learning_rate': 0.36653061224489797};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.83925;0.6833333333333333;0.654054054054054;0.5833333333333334;0.5994452822993048;"[[14  2  3  1]
 [ 2  8  8  2]
 [ 5  2 53  0]
 [ 0  3 10  7]]"
