;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
560;{'n_estimators': 95, 'max_depth': 2, 'min_data_in_leaf': 52, 'learning_rate': 0,69};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";83,56%;74,17%;70,97%;66,25%;67,66%;"[[15  2  2  1]
 [ 1 12  5  2]
 [ 2  3 54  1]
 [ 1  3  8  8]]"
165;{'n_estimators': 98, 'max_depth': 2, 'min_data_in_leaf': 53, 'learning_rate': 0,64};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";85,56%;73,33%;70,60%;65,83%;67,38%;"[[16  0  2  2]
 [ 1 11  6  2]
 [ 3  2 53  2]
 [ 1  2  9  8]]"
469;{'n_estimators': 97, 'max_depth': 2, 'min_data_in_leaf': 53, 'learning_rate': 0,64};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";85,44%;73,33%;70,60%;65,83%;67,38%;"[[16  0  2  2]
 [ 1 11  6  2]
 [ 3  2 53  2]
 [ 1  2  9  8]]"
1067;{'n_estimators': 99, 'max_depth': 2, 'min_data_in_leaf': 53, 'learning_rate': 0,64};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";85,11%;73,33%;70,60%;65,83%;67,38%;"[[16  0  2  2]
 [ 1 11  6  2]
 [ 3  2 53  2]
 [ 1  2  9  8]]"
1919;{'n_estimators': 98, 'max_depth': 2, 'min_data_in_leaf': 53, 'learning_rate': 0,64};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";85,56%;73,33%;70,60%;65,83%;67,38%;"[[16  0  2  2]
 [ 1 11  6  2]
 [ 3  2 53  2]
 [ 1  2  9  8]]"
117;{'n_estimators': 100, 'max_depth': 2, 'min_data_in_leaf': 52, 'learning_rate': 0,69};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";83,33%;73,33%;70,11%;65,83%;67,28%;"[[15  1  3  1]
 [ 1 12  5  2]
 [ 2  3 53  2]
 [ 1  3  8  8]]"
638;{'n_estimators': 100, 'max_depth': 7, 'min_data_in_leaf': 49, 'learning_rate': 0,6511111111111111};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";84,48%;72,50%;71,35%;64,58%;66,91%;"[[16  1  2  1]
 [ 1 10  7  2]
 [ 1  3 53  3]
 [ 1  0 11  8]]"
1186;{'n_estimators': 98, 'max_depth': 8, 'min_data_in_leaf': 48, 'learning_rate': 0,6455555555555555};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";83,75%;73,33%;72,23%;65,00%;66,76%;"[[16  1  3  0]
 [ 2 11  6  1]
 [ 2  2 54  2]
 [ 1  2 10  7]]"
167;{'n_estimators': 97, 'max_depth': 2, 'min_data_in_leaf': 46, 'learning_rate': 0,64};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";85,57%;72,50%;68,82%;65,42%;66,62%;"[[15  1  3  1]
 [ 1 12  4  3]
 [ 4  2 52  2]
 [ 0  3  9  8]]"
479;{'n_estimators': 99, 'max_depth': 10, 'min_data_in_leaf': 48, 'learning_rate': 0,6844444444444444};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";84,74%;73,33%;73,20%;65,00%;66,03%;"[[16  1  2  1]
 [ 1 13  6  0]
 [ 3  2 54  1]
 [ 1  2 12  5]]"
