;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
102;{'n_estimators': 99, 'max_depth': 6, 'min_data_in_leaf': 52, 'learning_rate': 0,6767346938775509};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";86,61%;72,50%;71,32%;64,58%;66,28%;"[[15  2  2  1]
 [ 1 12  6  1]
 [ 3  3 53  1]
 [ 1  1 11  7]]"
264;{'n_estimators': 86, 'max_depth': 7, 'min_data_in_leaf': 56, 'learning_rate': 0,41306122448979593};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";84,98%;72,50%;70,89%;63,75%;65,39%;"[[17  0  2  1]
 [ 2  9  7  2]
 [ 3  1 54  2]
 [ 0  2 11  7]]"
246;{'n_estimators': 150, 'max_depth': 6, 'min_data_in_leaf': 50, 'learning_rate': 0,4673469387755102};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";83,69%;70,00%;69,00%;62,50%;64,49%;"[[14  2  3  1]
 [ 1 10  8  1]
 [ 5  3 51  1]
 [ 1  1  9  9]]"
40;{'n_estimators': 106, 'max_depth': 8, 'min_data_in_leaf': 53, 'learning_rate': 0,6767346938775509};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";84,21%;71,67%;71,01%;61,67%;64,28%;"[[14  0  4  2]
 [ 2  9  8  1]
 [ 3  1 55  1]
 [ 1  2  9  8]]"
150;{'n_estimators': 142, 'max_depth': 6, 'min_data_in_leaf': 46, 'learning_rate': 0,42081632653061224};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";86,76%;72,50%;69,54%;62,92%;64,18%;"[[15  1  2  2]
 [ 2 11  6  1]
 [ 2  3 55  0]
 [ 2  2 10  6]]"
181;{'n_estimators': 137, 'max_depth': 6, 'min_data_in_leaf': 29, 'learning_rate': 0,5681632653061224};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";85,48%;72,50%;72,58%;62,08%;64,18%;"[[15  0  4  1]
 [ 2 11  6  1]
 [ 2  1 56  1]
 [ 2  1 12  5]]"
16;{'n_estimators': 108, 'max_depth': 11, 'min_data_in_leaf': 43, 'learning_rate': 0,6146938775510205};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";84,51%;70,00%;69,27%;62,50%;63,88%;"[[16  1  2  1]
 [ 2 10  8  0]
 [ 4  3 51  2]
 [ 1  1 11  7]]"
258;{'n_estimators': 102, 'max_depth': 10, 'min_data_in_leaf': 63, 'learning_rate': 0,3277551020408163};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";84,39%;70,83%;68,43%;62,08%;63,85%;"[[15  1  3  1]
 [ 2 10  7  1]
 [ 2  3 53  2]
 [ 1  2 10  7]]"
79;{'n_estimators': 133, 'max_depth': 10, 'min_data_in_leaf': 54, 'learning_rate': 0,32};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";84,95%;71,67%;69,68%;62,50%;63,81%;"[[17  0  2  1]
 [ 2  9  6  3]
 [ 3  1 54  2]
 [ 1  1 12  6]]"
47;{'n_estimators': 110, 'max_depth': 7, 'min_data_in_leaf': 60, 'learning_rate': 0,39755102040816326};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";85,57%;70,83%;66,96%;62,08%;63,31%;"[[15  1  3  1]
 [ 1 10  7  2]
 [ 3  2 53  2]
 [ 3  2  8  7]]"
